Year,Number of marriages,rate 
ikibindokuz,591742,8,2141660473048521
ikibinon,582715,7,9668836642073009
ikibinonbir,592775,7,9863382049558513
ikibinoniki,603751,8,0311853970770777
ikibinonüç,600138,7,8812439374339514
ikibinondört,599704,7,7700098639727431
ikibinonbeş,602982,7,7089456553415321
ikibinonaltı,594493,7,4988431211185773
ikibinonyedi,569459,7,0905225970617991
ikibinonsekiz,554389,6,8100730176783433
ikibinondokuz,542314,6,5671794732876574
ikibinyirmi,488335,5,8564115485986843
ikibinyirmibir,563140,6,6923107798415558
ikibinyirmiiki,574358,6,7587501531097116
