Province,ikibindokuz,ikibinon,ikibinonbir,ikibinoniki,ikibinonüç,ikibinondört,ikibinonbeş,ikibinonaltı,ikibinonyedi,ikibinonsekiz,ikibinondokuz,ikibinyirmi,ikibinyirmibir,ikibinyirmiiki
Adana,17921,16669,17242,17597,17940,17570,17281,17124,16506,15816,15139,13653,15585,15836
Adıyaman,6042,5951,5867,5997,6032,5961,5580,5299,5079,5152,4923,4508,5070,4683
Afyonkarahisar,6196,6026,6090,5796,5724,5597,5483,5149,5032,5117,5039,4356,5285,5048
Ağrı,5978,5488,5387,5547,5526,5200,5114,4678,4300,4298,3911,3320,3845,3755
Amasya,2533,2442,2359,2426,2233,2208,2227,2095,2103,2030,1990,1830,2021,2093
Ankara,34098,34445,35498,36191,36509,37130,38139,37040,35851,34645,33923,30281,34866,36960
Antalya,15517,15518,16366,17116,17012,17329,17978,17574,16474,16199,16685,15612,17040,18034
Artvin,1138,1146,1086,1183,1107,1098,1075,1005,963,954,968,780,954,1039
Aydın,7439,7526,7748,7666,7791,7907,7938,8175,7641,7698,7265,6465,7804,7777
Balıkesir,8173,8201,8246,8162,8095,7950,8153,8357,7990,7865,7955,7018,8137,8222
Bilecik,1239,1241,1308,1308,1313,1308,1297,1378,1306,1271,1259,1181,1358,1390
Bingöl,2343,2202,2161,2189,2206,2228,2149,2075,2015,2015,1877,1451,1831,1747
Bitlis,2790,2855,2674,2842,2828,2935,2831,2688,2568,2548,2272,2141,2424,2291
Bolu,1908,1734,1773,1906,2016,1894,1896,1986,1798,1786,1766,1654,1831,1952
Burdur,1661,1670,1630,1583,1623,1622,1603,1554,1567,1475,1543,1463,1772,1625
Bursa,18260,19017,19776,20276,20364,20738,21062,21120,20730,19829,19759,17763,20166,20976
Çanakkale,3201,3112,3145,3150,3122,2964,3219,3326,3267,3239,3192,2778,3373,3552
Çankırı,1463,1350,1366,1311,1280,1294,1157,1169,1143,1161,1162,1048,1069,1072
Çorum,4909,4766,4383,4322,4234,3995,3979,3649,3596,3589,3508,3046,3547,3455
Denizli,6854,6937,7206,7199,7174,7470,7471,7395,7045,6981,6820,6177,7544,7500
Diyarbakır,14160,12593,12953,13346,13319,13229,13049,13255,13240,12515,11555,10380,11734,12480
Edirne,2573,2553,2703,2628,2532,2503,2541,2498,2445,2286,2333,2069,2325,2548
Elazığ,4841,4613,4595,4453,4773,4724,4437,4274,4178,3989,3986,3384,4061,3965
Erzincan,1579,1597,1540,1610,1496,1500,1404,1325,1320,1359,1375,1200,1314,1317
Erzurum,6687,6619,6418,6490,6306,6108,5830,5467,5190,4893,4760,4346,4697,4593
Eskişehir,5407,5491,5731,5726,5977,5922,5857,5853,5733,5596,5470,4753,5615,5860
Gaziantep,15741,15540,16520,17059,16807,16888,16578,16172,15191,15226,15069,14149,16865,16839
Giresun,3095,2802,2832,2849,2729,2632,2665,2622,2564,2503,2473,2375,2645,2594
Gümüşhane,1059,921,932,983,915,829,881,820,708,741,729,643,715,719
Hakkari,1622,1711,1729,1841,1973,1989,1837,1786,1833,1752,1754,1323,1928,1936
Hatay,13203,12973,13212,13165,12784,12819,12647,12895,12013,12019,11618,11110,12554,12167
Isparta,2995,2838,2985,2982,2806,2871,2760,2691,2716,2682,2642,2491,2885,2783
Mersin,13556,13540,13847,13934,13679,13482,13827,13947,13347,13122,12609,12117,13459,13195
İstanbul,100406,104055,105860,110478,111050,112141,114382,113059,106053,101333,100088,86029,98796,105694
İzmir,29582,30369,31756,32403,32219,32054,32469,32354,30726,29588,28654,26131,29692,30328
Kars,2831,2754,2612,2742,2569,2396,2117,1981,1880,1762,1700,1375,1648,1589
Kastamonu,2472,2448,2357,2305,2210,2208,2178,2121,1972,1941,2001,1836,2059,1997
Kayseri,10291,10049,10077,10446,10332,10162,10233,9862,9682,9353,9556,8599,10127,10006
Kırklareli,2149,2119,2208,2159,2258,2164,2147,2250,2176,2138,2121,1814,2217,2296
Kırşehir,2182,2008,2032,1961,1841,1876,1839,1747,1736,1580,1517,1325,1644,1631
Kocaeli,11779,11745,12156,12563,12840,13156,13716,14142,13211,12940,12504,11291,13129,13927
Konya,17079,16937,16857,16976,16751,16577,16494,16565,15957,15644,15565,14607,17018,16212
Kütahya,4175,4005,4048,3979,3870,3810,3768,3648,3443,3396,3479,2875,3518,3394
Malatya,6169,5680,5958,5810,5823,5669,5581,5324,5360,5258,5117,4869,5589,5415
Manisa,9951,10302,10430,10321,10366,10049,10263,9916,9902,9416,9562,8367,10319,10253
Kahramanmaraş,9966,9658,9286,9152,9018,8556,8892,8427,8092,8267,8081,7488,8766,8641
Mardin,6486,6132,6652,6705,6299,6572,6418,6262,6490,6365,6111,5772,6438,6414
Muğla,6049,6121,6222,6323,6120,6155,6483,6515,6305,6401,6278,5959,6835,6821
Muş,3926,3672,3599,3725,3680,3689,3534,3512,3204,3092,2890,2540,2710,2682
Nevşehir,2599,2494,2527,2440,2483,2392,2354,2188,2105,2065,2153,1941,2258,2229
Niğde,3229,3005,3047,2981,2806,2864,2807,2782,2683,2504,2523,2266,2563,2529
Ordu,5547,5211,5142,5109,5014,5035,5118,4814,4841,4615,4546,3991,4811,4736
Rize,2236,2088,2170,2151,2121,2073,2112,2082,2021,1949,1889,1713,1840,1931
Sakarya,6608,6429,6751,6975,6992,7193,7301,7428,7100,6835,6651,6099,6995,7572
Samsun,10083,10015,9630,9668,9727,9685,9310,9430,9136,9018,8453,7848,8957,9140
Siirt,2504,2212,2322,2291,2390,2598,2407,2431,2335,2247,2086,1825,2182,2098
Sinop,1635,1546,1523,1427,1467,1406,1381,1402,1260,1310,1215,1165,1252,1205
Sivas,5384,5040,5016,4995,4785,4782,4726,4471,4163,4134,4036,3503,4048,3959
Tekirdağ,5417,5612,5915,6153,6369,6463,6744,6881,6686,6389,6362,5821,6968,7416
Tokat,5221,4775,4763,4489,4525,4230,4213,3897,3925,4008,3629,3415,3937,3701
Trabzon,5784,5449,5335,5291,5371,5386,5445,5280,5120,4963,4847,4456,4959,5011
Tunceli,638,604,574,596,528,566,513,470,445,465,428,355,429,394
Şanlıurfa,16666,15107,16451,17721,15811,15584,16559,16759,16106,15732,14912,14963,17192,17566
Uşak,2747,2636,2632,2775,2741,2689,2660,2629,2449,2521,2427,2223,2665,2629
Van,9467,9172,9014,9414,10123,10318,9870,9430,8779,8393,8029,6434,7967,7909
Yozgat,5270,4831,4507,4439,4119,4053,3875,3601,3426,3271,3201,2749,3258,2925
Zonguldak,6192,5033,4950,4601,4369,4263,4142,4017,3701,3589,3625,3219,3647,3621
Aksaray,4338,4043,3914,3822,3646,3540,3621,3440,3220,3290,3280,2926,3403,3398
Bayburt,599,605,608,547,547,528,495,465,460,403,435,425,436,452
Karaman,2064,1899,1827,1914,1836,1927,1889,1846,1764,1671,1757,1648,1838,1795
Kırıkkale,2688,2533,2411,2341,2421,2303,2286,2256,2122,2102,2095,1796,1976,1937
Batman,4501,3825,3799,4020,4098,4047,4405,4529,4149,4376,4183,3955,4497,4481
Şırnak,3012,2962,3240,3343,3253,3472,3495,3217,3599,3490,3278,3196,3583,3840
Bartın,1654,1602,1392,1404,1393,1405,1247,1247,1157,1250,1146,1128,1222,1218
Ardahan,887,932,894,893,831,761,657,671,621,576,562,553,571,505
Iğdır,1833,1761,1749,1776,1661,1748,1678,1563,1503,1463,1373,1147,1364,1310
Yalova,1501,1524,1512,1584,1586,1737,1750,1693,1716,1713,1654,1621,1885,1883
Karabük,1692,1583,1534,1540,1446,1458,1479,1444,1393,1472,1426,1376,1504,1433
Kilis,1192,1276,1282,1280,1259,1350,1277,1332,1282,1193,1110,999,1197,1195
Osmaniye,4306,4228,4282,4116,4193,4009,3969,3893,3906,4036,3999,3510,4115,4216
Düzce,2574,2542,2644,2774,2756,2711,2738,2779,2645,2521,2451,2327,2797,2821
